Industry_Name,Number_of_Firms,Std_Deviation_in_Equity,Std_Deviation_in_Firm_Value,E_D_E_,D_D_E_
Oilfield Svcs/Equip.,33,0.4471488741246149,0.324640252248341,0.6443678990064843,0.35563210099351567
Packaging & Container,6,0.2118130741186659,0.1724881448393453,0.7627284467577192,0.23727155324228075
Paper/Forest Products,18,0.3185616289494674,0.25908410661204223,0.7613511595875051,0.23864884041249496
Power,19,0.28449088164933634,0.18764356949989416,0.5512448731832069,0.4487551268167931
Precious Metals,682,0.6376646043359396,0.5899373322403124,0.9057204654534796,0.09427953454652034
Publishing & Newspapers,6,0.38081201069434034,0.22245842759948511,0.43855152859888036,0.5614484714011196
R.E.I.T.,53,0.2000181713771083,0.12298100124772425,0.48557295534508893,0.5144270446549111
Real Estate (Development),13,0.22463707744559702,0.15645411323613467,0.6034961345361257,0.3965038654638743
Real Estate (General/Diversified),3,0.2591502986765015,0.17823882033747832,0.5913168323880491,0.40868316761195095
Real Estate (Operations & Services),34,0.31489205139160303,0.21022803644406948,0.5627639946221379,0.43723600537786206
Recreation,17,0.39982917509237204,0.32842243415524947,0.7720011313109088,0.22799886868909128
Restaurant/Dining,22,0.3164679130647543,0.2286453747219324,0.6395229704208587,0.3604770295791413
Retail (Automotive),10,0.27413994856847224,0.1673300976089729,0.47884041191883486,0.5211595880811651
Retail (Building Supply),10,0.37056605776479035,0.30178180762766055,0.7627800229175614,0.23721997708243853
Retail (Distributors),33,0.29567491031473836,0.2458968901303211,0.7853959625725419,0.21460403742745818
Retail (General),10,0.2817508921962523,0.23118235924809327,0.7708391057353935,0.22916089426460653
Retail (Grocery and Food),12,0.29775115963834753,0.2329640067112094,0.7204972437077224,0.2795027562922776
Retail (REITs),18,0.1611489520380035,0.09805193247881905,0.47592542402067717,0.5240745759793228
Retail (Special Lines),41,0.4268411017421388,0.35612928868356725,0.7889078574374223,0.21109214256257772
Semiconductor,10,0.6049606172193432,0.35818903968078986,0.450871590899656,0.549128409100344
Semiconductor Equip,2,0.4971100481784693,0.4806047399239223,0.9583623450772872,0.041637654922712715
