Industry_Name,Number_of_Firms,Beta,Cost_of_Equity,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Tax_Rate,After_tax_Cost_of_Debt,D_D_E_,Cost_of_Capital,Cost_of_Capital_Local_Currency_
Chemical (Specialty),50,1.0561873779470168,0.08738461938556277,0.6576912676958254,0.5659550001040776,0.053524,0.03892223140186529,0.0385158704,0.3423087323041746,0.07065641987102386,0.07065641987102378
Coal & Related Energy,85,1.2556746127358038,0.09656103218584697,0.9674035659034481,0.6312514479106739,0.053524,0.016831868175257454,0.0385158704,0.032596434096551885,0.09466896689507091,0.09466896689507087
Computer Services,19,0.8667549116200352,0.07867072593452162,0.8901555785270734,0.4579516681565841,0.050855,0.1084126814536826,0.036595258,0.10984442147292661,0.07404897050105143,0.07404897050105141
Computers/Peripherals,5,0.9728123459695743,0.08354936791460042,0.8309955113818532,0.6018354115008157,0.053524,0,0.0385158704,0.16900448861814676,0.0759385046964588,0.07593850469645869
Construction Supplies,9,0.7159136620113569,0.07173202845252241,0.8154252280908603,0.29810535129664417,0.050855,0.21531423110758982,0.036595258,0.18457477190913973,0.06524666706062429,0.06524666706062421
Diversified,6,0.4442687730754023,0.05923636356146851,0.7574127479450816,0.21151877435662847,0.045043,0.05896721164554044,0.032412942800000004,0.24258725205491838,0.05272934362823102,0.05272934362823101
Drugs (Biotechnology),92,0.8351922495295203,0.07721884347835793,0.8930117336725655,0.5717968167722113,0.053524,0.006493114919597571,0.0385158704,0.10698826632743452,0.07307807948698705,0.07307807948698697
Drugs (Pharmaceutical),165,1.1103730590091783,0.0898771607144222,0.37697924967115615,0.6866086968536945,0.060879,0.012260091226392517,0.043808528400000005,0.6230207503288439,0.061175446843267256,0.061175446843267256
Education,17,0.7985043115310388,0.07553119833042779,0.8254661096603425,0.3868594120854755,0.050855,0.09962801729368363,0.036595258,0.1745338903396575,0.06873555719052546,0.06873555719052549
Electrical Equipment,33,1.0560009854950718,0.0873760453327733,0.8749742943038501,0.5754508215090308,0.053524,0.030338365331506873,0.0385158704,0.1250257056961499,0.08126726748136598,0.08126726748136592
Electronics (Consumer & Office),6,0.8659598563191171,0.07863415339067939,0.9191911462269114,0.500816676661013,0.053524,0.00230566534914361,0.0385158704,0.08080885377308855,0.07539224092685819,0.07539224092685815
