Industry_Name,Number_of_firms,Acc_Rec_Sales,Inventory_Sales,Acc_Pay_Sales,Non_cash_WC_Sales
Insurance (Prop/Cas.),8,0.0803241374796687,0,0.4317158779369808,-0.3550761257668935
Investments & Asset Management,195,0.2126981432168309,0.06945907669999492,0.2993766074922158,-0.048433509955332917
Machinery,30,0.295831470932782,0.17770981928183005,0.1546436795244682,0.3112142816288573
Metals & Mining,1275,0.0921331551464168,0.12973550077026083,0.13853177728797514,0.04035273454088978
Office Equipment & Services,1,0.16296296296296295,0.18518518518518517,0.13055555555555554,0.08888888888888886
Oil/Gas (Integrated),4,0.11053880146555246,0.0812323522186836,0.13983162291449122,0.042721236883244446
Oil/Gas (Production and Exploration),228,0.11589365755864782,0.036680307189031106,0.09795369934238987,0.01672229881437828
Oil/Gas Distribution,7,0.11824085267538516,0.04105808041056552,0.1441626765008398,0.0046645433329716305
Oilfield Svcs/Equip.,33,0.08079363976854034,0.06594246553401258,0.07100414638747439,0.04399502705652609
Packaging & Container,6,0.14154722338999454,0.13727185474851472,0.14337159219804713,0.10873436396950927
Paper/Forest Products,18,0.07660949179288727,0.18319487057112616,0.06137265370309536,0.16672146636831406
Power,19,0.12892293382836445,0.04565253758327839,0.1432909935029933,0.025908284415152538
Precious Metals,682,0.029248969791486272,0.19745209572591843,0.1191333695900726,0.08862315218408508
Publishing & Newspapers,6,0.11303994443541354,0.009635135734235764,0.09463269739467112,0.022647002320117005
R.E.I.T.,53,0.03532045623482181,0.0013439731888876334,0.12712074154771733,-0.01417247529347375
Real Estate (Development),13,0.23255233804429692,1.3462234475801642,0.12597936809245167,1.425595288809218
Real Estate (General/Diversified),3,0.11689472214465232,0.30382574699804527,0.12926556827701757,0.37095783300753987
Real Estate (Operations & Services),34,0.13546886521357848,0.02133053761026366,0.06842817955339235,0.07852221659166563
Recreation,17,0.08451495441460151,0.21504771343956458,0.13521100118421547,0.11745249837933906
Restaurant/Dining,22,0.09136979102498831,0.021379025742729717,0.10100120912656146,-0.01932389218821377
Retail (Automotive),10,0.03618207883401584,0.15013705358031737,0.035939895533978,0.14681451639665233
Retail (Building Supply),10,0.036479005640275744,0.14805514936285774,0.09229997911008982,0.07761353666179235
Retail (Distributors),33,0.13727771996239765,0.2059869196464038,0.09854796555155959,0.24024752860859144
Retail (General),10,0.057121817918155265,0.1550810669308318,0.12278028780690832,0.07506859944141125
Retail (Grocery and Food),12,0.044020219713399644,0.06770611315325839,0.08718215853488437,0.01764878472752853
Retail (REITs),18,0.026348207585291238,0.04905328176412861,0.06695823471685043,-0.004210442763955461
Retail (Special Lines),41,0.01483300162819326,0.158951769470864,0.07800114271160292,0.08234530090348378
Semiconductor,10,0.13726414574690235,0.18139625996413666,0.27929859163954,0.07078118983229109
Semiconductor Equip,2,0.13368283093053734,0.5150720838794234,0.41022280471821754,-0.3840104849279161
Shipbuilding & Marine,9,0.15830314531184564,0.016086922572752935,0.1224724285366125,0.04007178873196115
Software (Entertainment),38,0.14581489769898906,0.0005369188052002505,0.04599706004958423,0.05948981134099281
Software (Internet),20,0.035103718260249814,0.0012579696372636872,0.07952761903778169,0.006743688202225447
Software (System & Application),229,0.15236695379468795,0.003995259321025011,0.08786007552044836,0.03609648409096619
Steel,52,0.0628419434042355,0.130966625691754,0.07109217080170703,0.10884553390668568
Telecom (Wireless),3,0.24758569073542241,0.025498138897007843,0.2066289112882682,0.12177867399130542
Telecom. Equipment,18,0.15828178473304527,0.2551422741367953,0.1315975513745401,0.27784026092964226
Telecom. Services,22,0.16552636227232756,0.027486677460309764,0.11384723126475016,0.065239139348313
Tobacco,2,0.09440559440559441,0.1966783216783217,0.22552447552447555,0.06089743589743592
Transportation,45,0.12053741524366521,0.05519688478526081,0.09491439052900558,0.057564727483996894
Transportation (Railroads),3,0.11204124673708231,0.04378792331495151,0.1554402129756081,0.031405258699673255
Trucking,3,0.13156556560798358,0.007892450791363859,0.09110748564527407,0.044438947390724
Utility (General),6,0.13375156838143035,0.03116790003328809,0.10859140142882748,0.034484521035515865
Utility (Water),6,0.3000735317625244,0.036190415294606613,0.9434764538508265,-0.7602544838389974
Total Market (without financials),4243,0.11035992945834891,0.09214735830073867,0.11054720845511977,0.07051477027755033
