Industry_Name,Number_of_firms,PBV,ROE,EV_Invested_Capital,ROIC
Household Products,309,3.7247036444621915,0.1134288757105452,4.1299127903389055,0.12941465731213128
Information Services,39,2.9975105198755636,0.15194465784504485,4.235008562880819,0.2679990574267951
Insurance (General),135,1.3821252977072713,0.11602909225299309,1.3496664850575024,0.1196271014092167
Insurance (Life),82,1.1450143525114296,0.0843074556836884,1.0960934317522428,0.10062556732772265
Insurance (Prop/Cas.),144,0.9301988254529734,0.13823997870244925,0.9421910150460252,0.1288062629285156
Investments & Asset Management,481,0.9411756205653099,0.04680034228265566,0.999325694093491,0.009503368921723758
Machinery,911,2.705249434932462,0.08429484703339764,2.403424919266738,0.07727987342733422
Metals & Mining,331,1.7126142375182705,0.09060363937026933,1.5002765526976647,0.09602961142922127
Office Equipment & Services,71,2.2733476052196147,0.13003449631296352,2.1729198719013962,0.08457438524530009
Oil/Gas (Integrated),16,2.6200516693474594,0.22290917316797948,2.420711518024048,0.2534113092352995
Oil/Gas (Production and Exploration),103,1.237536068772127,0.19652438300778027,1.2040415421086443,0.2003713340301423
Oil/Gas Distribution,111,1.2490644486682427,0.16290173824275692,1.1711841248878483,0.1048363627398603
Oilfield Svcs/Equip.,225,1.400141961940335,0.0976542229302756,1.2714557672683195,0.08831979595622254
Packaging & Container,320,1.563534401836814,0.04326646515446256,1.4373582493931385,0.04935311292419448
Paper/Forest Products,188,0.9989529272089955,0.08032075528981464,1.0011609902396805,0.047727354775304986
Power,321,1.0846463339113084,0.07082693213613617,1.050254071758802,0.054777666735672186
Precious Metals,62,1.8949450984947354,0.11921775611636594,1.6633013752318235,0.13753909695975702
Publishing & Newspapers,170,1.7963783369753814,0.07689954867224968,2.1409254912786437,0.08537277872588532
R.E.I.T.,213,0.8203353313524417,0.05335791652123093,0.8876910160921935,0.05088868223879061
Real Estate (Development),773,0.45800735741072657,-0.0362728645289427,0.7156066636047478,0.019962061961196875
Real Estate (General/Diversified),218,0.5659743032449343,0.026758099646973673,0.7123406939516885,0.028590375280405537
Real Estate (Operations & Services),374,0.6621416789770759,0.027709105200830503,0.7699673154967622,0.047623267275210414
Recreation,143,2.2408171347364,0.06061804655668523,2.0568154126907,0.08107669515201783
Reinsurance,29,0.7368610600193438,0.1435536130287033,0.7682690954299142,0.15143810019055706
Restaurant/Dining,158,3.537852871315689,0.09159534135983617,2.622948797628497,0.06589571790636224
Retail (Automotive),107,1.5981230852622534,0.08228678987035676,1.4095735310374462,0.07422673195922903
Retail (Building Supply),46,2.8375763242361884,0.06688047339543268,2.0817111137847077,0.09316013152280213
Retail (Distributors),673,1.1129385004136017,0.08000039774864001,1.0722466134771804,0.0662241810743504
Retail (General),146,1.821771270725993,0.059647032636092646,1.6274514058757625,0.06098853876216149
Retail (Grocery and Food),86,2.921397432980071,0.062401244798299595,2.430388129926156,0.08192037031179492
Retail (REITs),40,0.778951318663914,0.02968593696203323,0.8537765787075002,0.04471712777406436
Retail (Special Lines),251,2.7551826765588374,0.030721346985297958,2.4165599771277937,0.06894933557144797
Rubber& Tires,72,1.475410988072655,0.08308151584908645,1.3015057776495862,0.07128395722101905
Semiconductor,513,3.177112839718506,0.11441162773973863,2.6652205523083032,0.10095249977453953
Semiconductor Equip,277,2.7665974005993412,0.17130289082253225,2.3955634300652804,0.16007206375110847
Shipbuilding & Marine,240,0.8926280391785627,0.10697454998352568,0.9195911057220164,0.10243024946717122
Shoe,58,1.644656461818079,0.07076805430630037,1.4999062838621084,0.06092413125363383
Software (Entertainment),66,2.8106682409703674,0.18936998553332493,2.1672499483453778,0.08365140966919928
Software (Internet),42,3.846377319681263,0.028703036265567937,2.7503979551305515,0.03165119239940261
Software (System & Application),521,3.987855694655837,-0.004663152738867254,3.454860258905482,0.009195016823699291
Steel,536,1.1898486364529561,4.367397839745259e-05,1.1064546397464925,0.07419273415255802
Telecom (Wireless),63,1.5901687107565285,0.11387759153825903,1.417077524185823,0.11225270138029898
