Industry_Name,Number_of_firms,Lease_Expense_Sales,Total_Debt_without_leases,Total_Debt_with_Leases,Lease_Debt_as_of_Total_Debt,Market_Debt_to_Capital_without_leases,Market_Debt_to_Capital_with_leases,Book_Debt_to_Capital_without_leases,Book_Debt_to_Capital_with_leases,Operating_income_before_lease_adj_,Operating_income_after_lease_adj_,ROIC_without_leases_,ROIC_with_leases_,Pre_tax_Operating_Margin_before_lease_adj_,Pre_tax_Operating_Margin_after_lease_adj_,Lease_Debt_My_Estimate_,Lease_Debt_Accounting_
Broadcasting,63,0.012726933168072713,6673.884999999998,6677.908262735207,0.0006024734957291785,0.23029807274735598,0.23040491727010115,0.18703505790718059,0.18712671066709294,736.4609999999998,736.869347452958,0.03132876314631592,0.03133996604409237,0.05151298104935364,0.0515415435864137,4.023262735208846,0
Brokerage & Investment Banking,431,0.0035861383011896184,1056334.8080000004,1056858.8666727752,0.00049586438577619,0.6929673736115102,0.6929667345662569,0.6948036023856946,0.6948029654790715,2025.7730000000001,2017.9212654450416,0.0014242936441304158,0.0014181795884399145,0.013090567638241889,0.013039829642292092,524.0586727748159,527.233
Building Materials,255,0.0028026548098749734,23929.209000000003,24064.35366951711,0.005615969220411603,0.21180877940568102,0.21158849884152933,0.3281409441111761,0.3278500024620533,4900.125999999997,4899.953066096576,0.07559788794067265,0.07541425265358853,0.07588498863326298,0.07588231052104803,135.1446695171071,167.00400000000002
Business & Consumer Services,338,0.0034768522074367985,17665.40800000001,17736.345575228985,0.003999559826351572,0.13348050615815701,0.13350175306031084,0.3338109719901178,0.3338518210002513,3577.091,3596.0874849542065,0.09346638556063663,0.09376310565519093,0.05292685379727347,0.053207926932352614,70.93757522897431,66.96600000000001
Cable TV,32,0.008703289630669391,10420.976,10423.467573279886,0.000239034972034878,0.2581778552085541,0.25816667638667273,0.31334720399629,0.3133346453835349,385.61600000000004,387.17568534402324,0.016864563899522237,0.016930750964995505,0.028514012066339356,0.028629341530674784,2.491573279885415,3.13
Chemical (Basic),707,0.0011224317871138241,312366.0819999999,312565.75489312987,0.0006388188405292778,0.292227415211034,0.29228563017386316,0.38396421877491227,0.3840307928912596,26486.33799999998,26493.013421373988,0.039253215446656754,0.03924966448633192,0.03980860724000204,0.03981864030790442,199.67289312998764,111.495
Chemical (Diversified),30,0.0014580911403482427,19428.182,19428.259173871473,3.9722484027714826e-06,0.2275762424810816,0.2275769407460867,0.34960642293753663,0.3496073261567507,6632.900000000001,6632.901565225706,0.11675856440531632,0.11675838715184564,0.14226791298640573,0.14226794655865835,0.07717387147204136,0
Chemical (Specialty),656,0.0014992259088943288,115569.66600000001,115615.03487332376,0.0003924132650520746,0.17750890398865204,0.17725569260440963,0.3191932950748418,0.31881631691051565,37817.164999999986,37819.42522533523,0.13335267492222438,0.133335698608426,0.1260992077028317,0.12610674429696836,45.36887332375045,245.64299999999997
Coal & Related Energy,95,0.012797698161876914,73156.64500000002,73156.64500000002,0,0.17905635463548003,0.17897461260800301,0.23770855257357262,0.23760778464264232,62338.79499999998,62338.79499999998,0.29765766377826053,0.29765766377826053,0.23389710378610565,0.23389710378610565,0,40.595000000000006
Computer Services,603,0.002556176907944145,44588.575999999965,44633.96499381811,0.0010169160150668218,0.06795402814097892,0.06794546119813206,0.2505371985248879,0.2505118001251175,25251.510999999988,25267.06120123636,0.1834303284508498,0.18347390297235192,0.07295791810843828,0.0730028465211726,45.388993818145536,51.382
Computers/Peripherals,228,0.0008613581986726385,84308.18000000001,84521.75635824785,0.0025268802666924,0.10290176720831723,0.10308534379663492,0.16908546718062534,0.1693648244267262,20852.746,20859.597728350433,0.05336731209770181,0.05335145378308426,0.032301700773186476,0.032312314362349014,213.57635824783938,45.71
Construction Supplies,552,0.0026286013721584832,252238.79300000006,252341.86618643062,0.00040846645064598826,0.29698751876916946,0.2969843219106874,0.34611760846036305,0.34611414312044586,33965.57600000002,33967.45436271391,0.05888997831445381,0.058880883244028785,0.06112590213480902,0.061129282516623314,103.07318643055623,79.74
Diversified,212,0.0030218352889251564,781331.1460000003,792390.266375372,0.01395665853640448,0.5244572681756537,0.5279420761603544,0.4521413371708694,0.45560600016160197,102672.69600000001,112097.9129249257,0.07783983362537912,0.08415814147627178,0.11708056165989979,0.1278284014880922,11059.120375371655,60.3
Drugs (Biotechnology),332,0.002304450945647824,16928.822000000004,16968.319894989814,0.00232774342034139,0.055767714172975526,0.055685702864707226,0.16925966880520166,0.16904063678763181,-498.8820000000003,-491.9725789979621,-0.008251031580846287,-0.008131185370446272,-0.012636144872739128,-0.012461136664849284,39.49789498981045,65.914
Drugs (Pharmaceutical),717,0.0018825274204162764,77787.029,77919.28789034487,0.001697383201589374,0.09422174475166348,0.09421074266004296,0.21575621376076864,0.21573440035753216,29901.604000000018,29907.347221931042,0.10907587879640668,0.10903595245561787,0.11321837188583163,0.11324011781746826,132.25889034487773,142.189
Education,155,0.021381629504941834,15960.943000000001,16006.630251409879,0.0028542704299584568,0.2706847603395345,0.27115849903565925,0.3571611884218327,0.35771204177860194,3390.3200000000006,3394.2085497180246,0.1052972985337362,0.10525133317298419,0.18347722218109255,0.1836876625821686,45.68725140987772,7.378
Electrical Equipment,726,0.0014280911901840521,154404.22299999994,154431.09315468292,0.00017399446014456065,0.14850437671508274,0.14833813038533283,0.31706986830841055,0.3167851221349835,35717.41500000007,35728.559969063484,0.10921872915744218,0.10924255045030799,0.07097684932456678,0.07099899635816204,26.87015468298341,229.91300000000004
Electronics (Consumer & Office),77,0.000471902047222905,20405.233999999997,20405.248137925835,6.928573346855425e-07,0.2805523403329786,0.28054351857254756,0.3402888683479992,0.34027905663472974,3209.766000000001,3209.778172414833,0.07069068072844616,0.07069092373223597,0.028677631612451727,0.028677740366805905,0.014137925838440424,0
Electronics (General),1024,0.0013391097597833517,230180.8599999996,230914.93769452575,0.003178996135352869,0.1827767512295092,0.18274682899866826,0.31426668747996794,0.31422351596018305,27203.815000000024,27269.28746109479,0.05178750055850111,0.05183130850944648,0.033549631265043484,0.03363037644463481,734.0776945261459,780.316
