Industry_Name,Number_of_firms,Book_Debt_to_Capital,Market_Debt_to_Capital_Unadjusted_,Market_D_E_unadjusted_,Market_Debt_to_Capital_adjusted_for_leases_,Market_D_E_adjusted_for_leases_,Interest_Coverage_Ratio,Debt_to_EBITDA,Effective_tax_rate,Institutional_Holdings,Std_dev_in_Stock_Prices,EBITDA_EV,Net_PP_E_Total_Assets,Capital_Spending_Total_Assets
Computers/Peripherals,228,0.16908546718062534,0.10290176720831723,0.11470512754004307,0.10308534379663492,0.1149332805341755,4.52117245340282,0.9633168141181814,0.1267298824997524,0.0933121153846154,0.3210462723610615,0.07855257119097254,0.22842897351893213,0.07064761171289734
Construction Supplies,552,0.34611760846036305,0.29698751876916946,0.42244985216934594,0.2969843219106874,0.4224433837917308,3.037693592109018,4.5316701705965405,0.14809310638667658,0.09407112149532704,0.27799625591652655,0.08106360274736457,0.3086339013005746,0.03300690506924081
Diversified,212,0.4521413371708694,0.5244572681756537,1.1028604436107232,0.5279420761603544,1.1183840997014851,2.1024804419880634,5.555881668359012,0.14707994448803524,0.1324180838323353,0.259112968922331,0.10832034265928289,0.11760605411326175,0.015001898138405315
Drugs (Biotechnology),332,0.16925966880520166,0.055767714172975526,0.059061435422249176,0.055685702864707226,0.05896945861524862,-0.714580167214068,4.595302495355449,0.04653246619546844,0.08443869888475841,0.3893550934004017,0.006588289237333573,0.2207218098989861,0.04748648516034969
Drugs (Pharmaceutical),717,0.21575621376076864,0.09422174475166348,0.10402297052917304,0.09421074266004296,0.10400956060873681,8.182190925424566,2.0331511001594116,0.13587157057550103,0.0953554884547069,0.3006607098453748,0.052717407670325775,0.23774543445826424,0.03583243068892854
Education,155,0.3571611884218327,0.2706847603395345,0.3711491898421764,0.27115849903565925,0.3720404212395775,2.572571539572887,3.7255817125991606,0.10428933141527268,0.11218095652173914,0.36315468021171116,0.08974908365299425,0.4114413468884213,0.03748258974723704
Electrical Equipment,726,0.31706986830841055,0.14850437671508274,0.17440415740738574,0.14833813038533283,0.17417491105061234,6.395434596934923,3.297524667301757,0.1250192669972813,0.09017856127886319,0.32192011526050346,0.05499065469209623,0.23529285079059767,0.05956872094316436
Electronics (Consumer & Office),77,0.3402888683479992,0.2805523403329786,0.3899551782027137,0.28054351857254756,0.38993813498758034,3.9173297729003536,3.0263295833691126,0.12226329429827258,0.07353833333333333,0.3211381423546983,0.10988159302782989,0.20362225428274647,0.042236137573106625
Electronics (General),1024,0.31426668747996794,0.1827767512295092,0.22365583884758067,0.18274682899866826,0.2236110369259986,3.2116703999066876,2.9946496205117294,0.10391056417161576,0.09057971882640585,0.31242497405614467,0.060724690161343804,0.28889904548749706,0.05379470671571416
Engineering/Construction,890,0.5086577089474448,0.6019884757325684,1.5124900638004668,0.6019914584624606,1.512508892741142,2.867163727025962,7.323667290562556,0.1315685144944519,0.08648484313725496,0.3383084642912485,0.10539525556203348,0.06905691455272146,0.021920154881405148
Entertainment,335,0.2501771626157625,0.1345240628083069,0.15543362562431515,0.1347947156684011,0.15579506749376212,2.134357967232868,3.3669732103519485,0.08976409722743997,0.07672749999999996,0.3945954782504927,0.041634846634318226,0.11841944557082663,0.01702880705247953
Environmental & Waste Services,203,0.4854550219844392,0.40993009678502335,0.6947144644245241,0.40983257198651224,0.6944344139188005,1.726799062851986,6.988585683507818,0.12377198152610325,0.08442937499999995,0.30164983720797184,0.05919084876870843,0.14488653342019736,0.03815652710960184
Farming/Agriculture,297,0.47558968171719734,0.4016862112577653,0.6713637873901978,0.40109567581293054,0.6697157786552351,2.6485256239901642,4.611651680632826,0.14574225446701028,0.0862243455497382,0.3110566098538647,0.07992582353907578,0.4100244720534881,0.04905598087273488
Financial Svcs. (Non-bank & Insurance),672,0.7302507754847876,0.5926517239354843,1.454901760383589,0.5926533618103486,1.454911631146008,2.4127871067246542,62.05814892600703,0.15540358008717184,0.13099763593380603,0.34618436666643426,0.011367502732505157,0.031629320340650344,0.004118639401649607
Food Processing,957,0.4452853886222998,0.2755108068530826,0.38028283852843126,0.2746559619697255,0.37865612394853915,3.2190421543486964,3.441414482422227,0.1550736383074173,0.08778191358024691,0.2951380294659029,0.07764261339023915,0.3540787945803396,0.04749888170283663
Food Wholesalers,103,0.4520360914597003,0.3973043484208119,0.6592122365240097,0.3973050733277549,0.6592142321845287,2.1779491162819373,5.345213950886069,0.14557833526427852,0.07662916666666666,0.36788571260395597,0.07863483546055798,0.23375684883679387,0.02418589375087285
Furn/Home Furnishings,275,0.30213673022618187,0.1704377777206385,0.20545508599985673,0.1698741957000809,0.2046366885840191,9.15745465405334,2.1756471972660427,0.1315675944282261,0.08936478494623659,0.27788289439332303,0.09655760143345597,0.18111439326989762,0.03868910135258905
Green & Renewable Energy,137,0.5708642744011881,0.36090853676408596,0.5647212606106433,0.35980257391857545,0.5620181513707201,3.797416540151585,6.271150286703661,0.12386254009475527,0.13802221153846156,0.2919363985395121,0.061008846134126965,0.6459310337412757,0.06389940975600367
Healthcare Products,343,0.13101862018317093,0.04676922267287558,0.04906390329109735,0.046904056349973904,0.04921231347428432,9.441592754380565,0.9039531227367568,0.09665423801805686,0.11137225925925928,0.3507028170970805,0.030274571833125,0.22122702214425838,0.04712863076984349
Healthcare Support Services,217,0.3662489874863301,0.3001492917445441,0.4288761705946365,0.29972762611310927,0.4280157797022017,3.205532387327812,3.8688359993173536,0.151778417362273,0.1285585271317829,0.33561682640619056,0.08519430599909072,0.09316836916124853,0.013681956623891307
Heathcare Information and Technology,129,0.16886141017572742,0.050148325041610105,0.05279595368803971,0.05014735527163697,0.05279487881615365,9.491175580236824,1.8758191184238235,0.05564731179018795,0.10656666666666666,0.38532130626243416,0.026530264990203806,0.2928243380048075,0.05936045292866831
Homebuilding,43,0.4836127701055915,0.4273908541257473,0.7463919450207385,0.4274653502876486,0.7466191792975544,1.3529929699631307,11.500759784760604,0.11393248226484234,0.197255641025641,0.40517957023115486,0.05044243709472071,0.024938644384175025,0.005264977496551466
Hospitals/Healthcare Facilities,147,0.36818994068728256,0.11394530029246824,0.1285984943481246,0.11400290842240376,0.1286718765852961,3.8567740620416346,3.163418969789092,0.18762324229866928,0.12002339622641513,0.27625042732452115,0.04113906760138007,0.4042273857165756,0.04934253677784467
Hotel/Gaming,412,0.4566093496646402,0.3544036673071632,0.5489555150180541,0.35190743736655844,0.5429894704185887,1.1860653883646062,13.949319011727466,0.1280345049799848,0.11571374501992038,0.32003420174618935,0.051774325707631595,0.5240982553334074,0.023476039810319912
Household Products,309,0.20784682304742338,0.06580799295009152,0.07044375508832176,0.06576147524850592,0.07039045544177101,6.598011279708894,1.6351939642711024,0.14808634828362296,0.0802713432835821,0.30541413055085687,0.043591830298835565,0.247600949167432,0.031104807828364642
Information Services,39,0.32836873521772675,0.14023320168518,0.16310609104706428,0.14193221130545552,0.1654090890900237,5.912792445339308,2.1981184770815863,0.1724283355479924,0.1308026923076923,0.3626499799970387,0.07929540250500897,0.10240131245328095,0.017681777033194478
Insurance (General),135,0.3267382095641852,0.25987903589573497,0.35113048879821257,0.2600127147779491,0.3513745708481006,5.142755748266728,3.131330642659119,0.14739924765223208,0.10848134831460675,0.2313588694310793,0.10184466110426339,0.012761336587859471,0.0019685595364316837
Insurance (Life),82,0.4855556664152707,0.451847057227279,0.8243083671898247,0.4518772810751303,0.8244089607551341,4.244727777283513,17.191796793747926,0.12376470423761161,0.13850508474576273,0.26220374181476147,0.0949090642127149,0.007952782431182288,0.0008211217439469627
Insurance (Prop/Cas.),144,0.18807058749046568,0.19936958490948462,0.2490157520270384,0.20076572975032356,0.2511975990313897,9.266369205227214,2.269014290676816,0.18470213420482118,0.18624616279069772,0.28540042127265985,0.13874575603012854,0.01858008039869683,0.0031939420216644024
Investments & Asset Management,481,0.7016447847096277,0.7141790268500302,2.498693566742919,0.714179268699475,2.498696527189814,3.6375106806910913,42.68237932942731,0.08458882381944922,0.15549940993788808,0.3217572836011524,0.012440431944328678,0.02002123857384509,0.0016160282770133676
Machinery,911,0.2661228862679796,0.1182010040705357,0.13404529219943756,0.11757012455201965,0.1332345241510927,6.545742086039593,2.9602880191268603,0.1226990171078094,0.08696078147612153,0.3151119466989465,0.043170396545754434,0.2205114181461992,0.039634760298509056
Metals & Mining,331,0.3748040353135473,0.25928601193324013,0.3500487585092978,0.25927167863524797,0.3500226346922362,4.257526254957331,2.4526664094311275,0.12492819380201486,0.08302861660079054,0.3331053026240699,0.09351025837583886,0.4022326987097952,0.05374607019971045
Office Equipment & Services,71,0.2737230492374629,0.14220834390065837,0.16578424712980547,0.1353063389632835,0.15647893012313657,5.025991471407577,2.9510759985401003,0.17334381314501263,0.06311583333333333,0.3264273706996392,0.05223818246725864,0.26181519288341015,0.03363446622644624
Oil/Gas (Integrated),16,0.233430431092908,0.10412251797282339,0.11622405971988121,0.10414836812182686,0.11625626880142803,26.60782334329132,0.624997203248613,0.2621690266179164,0.09867999999999999,0.2564365280409755,0.14928865711597972,0.5492986719738434,0.07758152832097424
Oil/Gas (Production and Exploration),103,0.2953466619243839,0.25299946395343964,0.33868712503530274,0.25309255644542566,0.33885397532115097,11.109233844843283,1.0632933768841895,0.17472957091818384,0.16708306818181812,0.3471761128036734,0.2486418515370835,0.5554352723256906,0.10766849035742483
Oil/Gas Distribution,111,0.41501559006108296,0.3622379485625785,0.5679829142328988,0.36168909001541993,0.5666346671470137,4.298507636033717,3.7378086603834704,0.13509239812055318,0.15868839506172835,0.2842744322131599,0.12466815250026311,0.5356165010869494,0.05859154844536617
Oilfield Svcs/Equip.,225,0.3823589239369642,0.3065876030468301,0.4421432388488661,0.3066077054592747,0.44218504859844043,3.7324430822147434,3.552713543191527,0.14379424797453036,0.09468870967741937,0.31325109772795695,0.10186909251137564,0.4178572364713402,0.0560515733717552
Packaging & Container,320,0.315406497101925,0.2276001732887658,0.2946662666379071,0.22711889986041675,0.29386007733841446,3.5264395869973546,3.0087729920628674,0.14664411611405287,0.06645775510204083,0.28927255440553223,0.07350735508963208,0.4090856647355304,0.055784930671965945
Paper/Forest Products,188,0.47748322933045445,0.47774460966170723,0.914772003314789,0.4777285098950793,0.9147129777256402,2.15249197675427,4.350149605873893,0.11391151252617925,0.07965023076923076,0.3002449780009456,0.0935891442022659,0.5100713688811712,0.06860566786472744
Power,321,0.5439021747174675,0.5236842906904585,1.0994478671500914,0.5236606632250654,1.099343729977291,2.27141511064049,6.780978319534494,0.15859792177938567,0.10192045112781964,0.25379323334492165,0.09768061392097387,0.5815496104983728,0.06213035296385419
Precious Metals,62,0.37203025358946923,0.23817581535400414,0.3126388215998677,0.2381703842800149,0.3126294638138035,7.318082653509315,1.9420983629758661,0.14320697446679903,0.16345166666666663,0.3629423386090563,0.1163465706262748,0.4097047760528885,0.07900388262170982
Publishing & Newspapers,170,0.11644935985195097,0.0683532433860333,0.07336819765729713,0.06776107613596867,0.07268638371706923,9.568732539596892,1.4209557506711885,0.10630169495276241,0.07713907407407407,0.3343249514512783,0.05590033456125306,0.15415860198736922,0.019360426650623985
R.E.I.T.,213,0.36852361126147287,0.41568470181754646,0.7114047896924104,0.4157021742118009,0.7114559662292631,2.6383577357155685,11.38748131251256,0.033768681392286,0.2209306249999999,0.15315651499082827,0.03918356870377356,0.8160686916169922,0.02097393607926031
Real Estate (Development),773,0.5431740682789874,0.7219183849067148,2.596066570832236,0.7216382502859903,2.592447601106852,1.5088348331164314,19.444593997299183,0.1470767305767661,0.07669472972972978,0.32675662047770554,0.03594982407876695,0.05215558544389626,0.004645109310194177
Real Estate (General/Diversified),218,0.37379575358337436,0.5133067438277853,1.0546822609889495,0.5137600713192402,1.0565978666399254,1.8883398406513245,11.21254148884247,0.1332102065120937,0.08711333333333336,0.2613369901157388,0.05218384838547378,0.12767615798567386,0.008986857014630948
Real Estate (Operations & Services),374,0.3345100023510076,0.43153746027147855,0.7591308663497268,0.43169966975239,0.7596329735798277,3.4770828250567423,7.298905277091658,0.13301103126027555,0.11104636363636365,0.2974539106540201,0.0707826643991922,0.42313043254991956,0.004924699797661778
Recreation,143,0.3293164567251679,0.1797386975970531,0.21912370737289502,0.17960493626957838,0.21892493532676327,4.096600641794386,3.7181168393993547,0.11524634447753014,0.06736722772277226,0.29951284815021356,0.05937350228419822,0.32965997698384913,0.040725421729783835
Reinsurance,29,0.23123254520461928,0.28987139972659753,0.40819564176825984,0.29195678269225395,0.41234316713376123,8.29932651321398,17.133497198080896,0.11045255064892912,0.29674807692307686,0.24518224553347287,0.08182742530338467,0.0036899259035360005,0.00037456358025422196
Restaurant/Dining,158,0.3757410899730024,0.14539503741868437,0.1701312814513993,0.14865215841782603,0.1746080170257621,4.251980893908625,5.7412473924862875,0.12495402987363129,0.13827887640449432,0.3543725820745301,0.04818148017703833,0.28456513262116623,0.04235322996570135
Retail (Automotive),107,0.5574203031572235,0.4407470162947875,0.7880995348021413,0.4407987774093227,0.7882650459295893,2.5009924360500553,6.207015851221328,0.16211115083065308,0.0976884722222222,0.31089787871166086,0.08047229053999959,0.26198127129391596,0.03369826154835884
Retail (Building Supply),46,0.491239365681477,0.25388536568629316,0.340276619717857,0.25388695541438633,0.3402794754183576,2.125377635994532,3.5827126956551303,0.14518259787492593,0.16171,0.2971154156840334,0.06490683563554492,0.3229044200316903,0.03543347780759048
Retail (Distributors),673,0.5291859736590783,0.5024682160769852,1.0099218428118237,0.5023588757900207,1.0094802285231772,2.3463208734714205,6.89407014481981,0.1363327298162338,0.07282294117647053,0.35165817537320104,0.07781565982508924,0.21324591147468525,0.02926932963494421
Retail (General),146,0.4368239405309251,0.29862139140613203,0.42576347175003193,0.29717875869186566,0.42283690535411,1.7659067639959882,6.487515882818947,0.15362153963593564,0.11538223140495861,0.2910438265615052,0.05542261733604044,0.3201491107520607,0.02496455691279951
Retail (Grocery and Food),86,0.5489248420572354,0.29406247127500057,0.41655594058883605,0.28194326860467944,0.3926476227815735,2.624080859886746,5.056731687138913,0.16281794991091011,0.11771234374999999,0.283696512276218,0.06074550054954596,0.41484063012381334,0.03727967993592732
