Industry_Name,Number_of_firms,Total_Dividends_US_millions_,Special_Dividends_as_of_Total_Dividends,Dividend_Payout,Dividend_Yield,Market_Cap_US_millions_,ROE,Institutional_Holdings,Std_Dev_in_Stock_Prices,Net_Cash_Returned_FCFE_pre_debt_,Net_Cash_Returned_FCFE_post_debt_,Net_Cash_Returned_Net_Income,Cash_Firm_Value
Office Equipment & Services,71,217.47107999999997,0,0.3301780009959795,0.015001815978499922,14496.316999999995,0.13003449631296352,0.06311583333333333,0.3264273706996392,-0.43341158705628274,-0.15609903253355495,-0.08999010424831448,0.08416579399010377
Oil/Gas (Integrated),16,110506.3,4.6151214908109306e-05,0.6384493864825185,0.04398114180236066,2512583.6999999997,0.22290917316797948,0.09867999999999999,0.2564365280409755,0.8060106221852901,0.9429954646586113,0.5451401687800105,0.05969475337001223
Oil/Gas Distribution,111,4391.51696,0.03183410226428911,0.4304039930829841,0.04295087856629062,102245.10200000003,0.16290173824275692,0.15868839506172835,0.2842744322131599,6.785521545516263,226.2102649005992,0.2997255698283292,0.08808447680885846
Paper/Forest Products,188,2599.6331000000005,0,0.45157481149302015,0.03305422643624194,78647.52500000005,0.08032075528981464,0.07965023076923076,0.3002449780009456,0.22497442283603747,0.18355297798579803,0.12260974836804524,0.0898173346711804
Precious Metals,62,4485.0067,0.363834462053312,0.6037751574289204,0.031100078947623164,144212.068,0.11921775611636594,0.16345166666666663,0.3629423386090563,0.6403001729297303,0.7156598311929957,0.3063418913858732,0.08896119553765135
Publishing & Newspapers,170,1370.8689,0,0.5177683673326787,0.02104720648993951,65133.05699999999,0.07689954867224968,0.07713907407407407,0.3343249514512783,0.3115483612695534,0.4472818014120282,0.3588985534510673,0.1914017498105531
Real Estate (Development),773,33880.61532999999,0.0018937082274060341,0.008565684579531618,0.0702606945862291,482212.9290000002,-0.0362728645289427,0.07669472972972978,0.32675662047770554,1.5280677540798813,1.0753125043156346,0.5487962647681615,0.23418932912113646
Real Estate (Operations & Services),374,7825.239700000001,0.021025554015936403,0.9244121804614661,0.034564337905405106,226396.34300000014,0.027709105200830503,0.11104636363636365,0.2974539106540201,-4.708997890056015,-0.6639989784229178,-0.9854308125811547,0.10401646433301932
Recreation,143,993.7282000000002,0.0040051193072713435,0.7905554494828956,0.019530930557867105,50879.716000000015,0.06061804655668523,0.06736722772277226,0.29951284815021356,0.23333054641610268,0.18744526316482282,0.04984121058848156,0.126282288344691
Reinsurance,29,923.4526000000001,0,0.13748544306530117,0.017917302988317167,51539.70999999999,0.1435536130287033,0.29674807692307686,0.24518224553347287,0.7795751808219142,0.3392890105111227,0.30737751189368867,0.20722235759864194
Retail (General),146,5333.277440000001,0.16618674163705233,0.6105571132557156,0.0156213689163103,341409.0960000001,0.059647032636092646,0.11538223140495861,0.2910438265615052,0.07531867283048188,0.18956917511450885,0.06875251093768735,0.09182982092674058
