Industry_name,Number_of_firms,_Dividends_,_Net_Income_,Payout,Dividends_Buybacks,Cash_Return_as_of_Net_Income,Dividends_Buybacks_Stock_Issuances,FCFE_before_debt_cash_flows_,FCFE_after_debt_cash_flows_,Net_Cash_Returned_FCFE_pre_debt_,Net_Cash_Returned_FCFE_post_debt_,Net_Cash_Returned_Net_Income,Cash_Firm_Value
Metals & Mining,331,18759.752,23102.16000000001,0.8120345456875024,18699.066000000006,0.809407691748304,10792.515000000003,965.0680000000193,13272.954999999973,11.183165331354669,0.8131207406338697,0.4671647586199731,0.10941407447686755
Office Equipment & Services,71,217.47107999999997,658.6480000000003,0.3301780009959795,237.17599999999996,0.3600952253707593,140.99299999999997,221.4500000000004,285.38499999999976,0.6366809663580931,0.4940448867319589,0.2140642649791693,0.12740603105387843
Oil/Gas (Integrated),16,110506.3,173085.45099999997,0.6384493864825185,111198.5,0.6424485672108861,110933.2,130553.74799999995,95109.39199999993,0.8497128707480696,1.1663748202701167,0.6409157982897131,0.04513142685411377
Oil/Gas (Production and Exploration),103,12675.0157,28834.694999999992,0.4395751611036636,13074.791,0.4534395456584508,11991.011999999999,7416.151000000005,5451.572000000004,1.6168780813659256,2.199551248704042,0.4158536096879125,0.12979242121655457
Oil/Gas Distribution,111,4391.51696,10203.244000000002,0.4304039930829841,4398.24,0.43106290509175305,4078.786,6006.779000000003,4030.696000000011,0.6790304754012089,1.0119309419514617,0.39975384299346356,0.1169073958678651
Packaging & Container,320,1290.5222639999997,1668.6889999999992,0.7733749452414442,1458.2120000000002,0.8738668499642539,335.94499999999994,70.31400000000161,436.4560000000056,4.777782518417275,0.7697110361640019,0.20132271501759771,0.09652549667375832
Publishing & Newspapers,170,1370.8689,2647.649000000001,0.5177683673326787,1476.7159999999997,0.5577461362892133,1270.9109999999996,2258.2650000000012,1631.8680000000004,0.5627820472796589,0.7788074770753513,0.48001491134209984,0.18800501587314966
Real Estate (General/Diversified),218,7985.927499999999,9750.576000000005,0.8190211019328494,9680.716999999999,0.9928353976216373,8553.082999999999,850.5330000000067,3034.8239999999932,10.056144793911502,2.818312692927174,0.8771874605151526,0.09579618485626043
Real Estate (Operations & Services),374,7825.239700000001,8465.098000000005,0.9244121804614661,7953.319,0.939542460110916,6188.4980000000005,3757.1780000000076,3127.0400000000154,1.6471133387877785,1.9790274508800558,0.7310604082787933,0.0871917820913924
Recreation,143,993.7282000000002,1257.0000000000007,0.7905554494828956,955.8360000000004,0.7604105011933173,454.6760000000004,884.3430000000006,227.13900000000285,0.5141398755912582,2.0017522310127043,0.36171519490851245,0.12052433430728364
Reinsurance,29,923.4526000000001,6716.729999999999,0.13748544306530117,1262.0729999999999,0.18789991558392255,-1782.5090000000005,608.2529999999958,1185.1819999999962,-2.930538772517378,-1.5039960107392842,-0.26538345295999705,0.18159861086706644
Retail (Building Supply),46,575.7463999999999,447.253,1.2872946631995759,606.159,1.3552933127335087,410.606,840.8229999999998,17.54200000000037,0.48833821149040896,23.40702314445282,0.918062036475999,0.04231182015398885
Retail (General),146,5333.277440000001,8735.099999999999,0.6105571132557156,10157.901000000002,1.1628831953841403,8804.889000000001,6005.337999999998,2742.777999999962,1.4661770911146057,3.210208409138517,1.0079894906755507,0.07756100162192556
Retail (REITs),40,2829.559,1896.8719999999996,1.4916973839036058,2907.3949999999995,1.532731254401984,58.534999999999854,1593.5899999999997,2947.5009999999984,0.036731530694846144,0.019859195976523802,0.030858697898434827,0.0208563758618847
Shipbuilding & Marine,240,30257.763099999975,28526.786000000007,1.0606790088445284,29637.55399999998,1.0389377197978058,28397.297999999977,24524.08199999998,11780.421999999984,1.1579352083392969,2.410550148373294,0.9954608275884977,0.22167500073581384
Shoe,58,1289.4906,1354.8360000000007,0.9517687749661209,1161.112,0.8570129521211419,1049.4070000000002,1929.3130000000006,900.9660000000003,0.5439278126462631,1.1647576046154902,0.7745638586515265,0.10175770688810325
Software (Entertainment),66,2050.5526,27629.763000000003,0.07421535248058406,8211.213,0.2971872397168227,7445.695,26278.015000000003,25700.732000000004,0.2833431292279877,0.28970750716360916,0.2694809579076013,0.059809253833916894
Steel,536,18971.446520000005,24988.759,0.7591992271404917,21159.512000000002,0.8467612177139331,18874.396000000004,7921.136000000027,10141.936999999976,2.382789034300123,1.8610247726839606,0.7553154600434542,0.10626799504449641
