Industry_name,Number_of_firms,Total_Taxable_Income,Total_Taxes_Paid_Accrual_,Total_Cash_Taxes_Paid,Cash_Taxes_Accrual_Taxes,Average_across_all_companies,Average_across_only_money_making_companies,Aggregate_tax_rate,Average_across_only_money_making_companies,Aggregate_tax_rate
Healthcare Products,343,8918.504999999992,1290.4169999999997,2895.1260000000007,2.243558477608402,0.09665423801805686,0.14468983310543648,0.22659440524072794,0.32462010168744687,0.5137670261104741
Healthcare Support Services,217,8881.082,1969.9570000000003,5261.729000000001,2.670986727121455,0.151778417362273,0.22181497704896772,0.27807981410093,0.592464859574543,0.7945724973754502
Heathcare Information and Technology,129,4829.905,808.7239999999999,793.3420000000002,0.9809799140374222,0.05564731179018795,0.16744097451192103,0.20972197037562285,0.16425623278304652,0.21471096881402355
Homebuilding,43,1073.784,204.87900000000005,207.65699999999998,1.013559222760751,0.11393248226484234,0.19080094320645496,0.4139387422786245,0.1933880556983527,0.45942627303138095
Hospitals/Healthcare Facilities,147,6487.531000000001,1250.3840000000002,1167.5729999999996,0.9337715453812584,0.18762324229866928,0.1927364971358133,0.2068003402872929,0.17997185678187888,0.19242069714068352
Hotel/Gaming,412,7285.063999999998,1739.9830000000006,1558.0079999999998,0.8954156448654954,0.1280345049799848,0.23884251394359765,0.6653910815852648,0.21386332364410254,0.6351459768315596
Household Products,309,8805.542999999996,2007.8970000000002,2376.514,1.1835836200761294,0.14808634828362296,0.2280264828642596,0.24711816571667986,0.2698884100617079,0.3233616789617765
Information Services,39,1033.148,233.96599999999995,240.32,1.027157792157835,0.1724283355479924,0.2264593262533538,0.2514521085380832,0.23260946156794574,0.2703103980419593
Insurance (General),135,10209.624000000002,1399.2749999999999,2714.5039999999995,1.9399360383055508,0.14739924765223208,0.1370545085695614,0.13972068802401397,0.2658769803863491,0.27745417541088085
Insurance (Prop/Cas.),144,21906.423000000003,2858.1139999999996,3198.0759999999996,1.1189462701627717,0.18470213420482118,0.1304692235697265,0.13162269884941488,0.14598805108437826,0.14723993604653218
Investments & Asset Management,481,10922.280999999999,1623.7109999999996,2193.4809999999993,1.3509060417771388,0.08458882381944922,0.1486604309118214,0.23475481312346266,0.20082627429197247,0.36253577251695596
Machinery,911,20858.691999999974,3098.5490000000013,6680.042,2.155861340259585,0.1226990171078094,0.14854953512904862,0.1669813880450722,0.3202521998982491,0.3776001962604252
Metals & Mining,331,37654.86999999998,8992.601999999997,15888.726000000002,1.7668663641513331,0.12492819380201486,0.23881643994521828,0.23395657685991234,0.42195673494557306,0.4469948732975982
Office Equipment & Services,71,1049.5149999999996,154.45100000000002,208.96099999999996,1.352927465668723,0.17334381314501263,0.14716416630538875,0.18322682871408297,0.19910244255680007,0.2539111436761288
Oil/Gas (Integrated),16,319918.7689999999,141505.94000000003,19229.507999999998,0.13589187846107376,0.2621690266179164,0.4423183436292857,0.4423193845565216,0.060107470593574346,0.06010766599309037
Oil/Gas (Production and Exploration),103,43152.490000000005,13218.399000000001,9732.228,0.7362637487338669,0.17472957091818384,0.3063183375976682,0.30547131642373443,0.22553108754558537,0.23035887471805255
Oil/Gas Distribution,111,12666.317000000005,1470.0900000000001,1356.402,0.922665959226986,0.13509239812055318,0.11606294079012862,0.11696733787819175,0.1070873245948289,0.10873174593555174
Oilfield Svcs/Equip.,225,40986.91,9411.268999999995,6771.901,0.719552379174371,0.14379424797453036,0.22961645559521304,0.24383968709698114,0.16522106692112187,0.18087665132486874
