Industry_Name,Number_of_Firms,Std_Deviation_in_Equity,Std_Deviation_in_Firm_Value,E_D_E_,D_D_E_
Oil/Gas Distribution,111,0.2842744322131599,0.17143388595505807,0.6383109099845801,0.36168909001541993
Oilfield Svcs/Equip.,225,0.31325109772795695,0.2473027127664996,0.6933922945407254,0.3066077054592747
Packaging & Container,320,0.28927255440553223,0.2483153863625461,0.7728811001395832,0.22711889986041675
Paper/Forest Products,188,0.3002449780009456,0.2110196080049661,0.5222714901049207,0.4777285098950793
Power,321,0.25379323334492165,0.14216035067041996,0.47633933677493456,0.5236606632250654
Precious Metals,62,0.3629423386090563,0.33207079664004924,0.7618296157199851,0.2381703842800149
Publishing & Newspapers,170,0.3343249514512783,0.2437270120638634,0.9322389238640313,0.06776107613596867
R.E.I.T.,213,0.15315651499082827,0.13757980958709337,0.5842978257881991,0.4157021742118009
Real Estate (Development),773,0.32675662047770554,0.13776233826432457,0.27836174971400973,0.7216382502859903
Real Estate (General/Diversified),218,0.2613369901157388,0.154277530576599,0.4862399286807598,0.5137600713192402
Real Estate (Operations & Services),374,0.2974539106540201,0.1896112014772634,0.56830033024761,0.43169966975239
Recreation,143,0.29951284815021356,0.2218972557584593,0.8203950637304216,0.17960493626957838
Reinsurance,29,0.24518224553347287,0.24537331463714668,0.708043217307746,0.29195678269225395
Restaurant/Dining,158,0.3543725820745301,0.26833341561272567,0.851347841582174,0.14865215841782603
Retail (Automotive),107,0.31089787871166086,0.22103309532812085,0.5592012225906773,0.4407987774093227
Retail (Building Supply),46,0.2971154156840334,0.24580971853549788,0.7461130445856137,0.25388695541438633
Retail (Distributors),673,0.35165817537320104,0.17906031297585046,0.4976411242099793,0.5023588757900207
Retail (General),146,0.2910438265615052,0.18613187037731108,0.7028212413081343,0.29717875869186566
Retail (Grocery and Food),86,0.283696512276218,0.17392697819696168,0.7180567313953206,0.28194326860467944
Retail (REITs),40,0.1350712005548403,0.34976564018992534,0.5925855038193923,0.4074144961806077
Retail (Special Lines),251,0.32878226281087863,0.23564737733384464,0.7973248351491834,0.20267516485081657
Rubber& Tires,72,0.267982970766138,0.20479117643003486,0.7380471259447453,0.2619528740552547
Semiconductor,513,0.32380271915068704,0.29522533999448214,0.9014358388477678,0.09856416115223225
Semiconductor Equip,277,0.33201055407825636,0.30961887978202657,0.898314189232694,0.101685810767306
Shipbuilding & Marine,240,0.29919076904362635,0.18524753883427872,0.6758811317224185,0.32411886827758146
Shoe,58,0.31336218587704195,0.2586589572220407,0.8257577608902905,0.17424223910970946
Software (Entertainment),66,0.4082395077604536,0.3525090862279262,0.882100745940065,0.11789925405993494
Software (Internet),42,0.37147731667538714,0.2558940695887567,0.8494100471449545,0.15058995285504553
Software (System & Application),521,0.38892970241383346,0.35181249738184667,0.9590687134186473,0.04093128658135267
Steel,536,0.3208591156394216,0.2109957000411399,0.681006893256007,0.31899310674399295
Telecom (Wireless),63,0.25038701177270106,0.18426498066456432,0.7155738857339867,0.2844261142660133
Telecom. Equipment,299,0.3466045199348861,0.28739351927754886,0.8837241335459908,0.11627586645400925
Telecom. Services,140,0.26326849022810117,0.20889828910587047,0.6965996277972584,0.3034003722027417
Tobacco,31,0.25062970194532397,0.2511878968456353,0.9869280073991448,0.013071992600855281
Transportation,296,0.29033156450863157,0.20257192436181204,0.6179818122192028,0.3820181877807972
Transportation (Railroads),15,0.24330392331949519,0.16003323554670723,0.7637270481004352,0.23627295189956476
Trucking,55,0.38434835647702925,0.22137748857680561,0.44131005562223613,0.5586899443777639
Utility (General),14,0.22898566289089733,0.11246536680838114,0.7490944878053635,0.2509055121946365
Utility (Water),71,0.21512939899485226,0.15437010014454047,0.4900231194954915,0.5099768805045085
Total Market,25637,0.31499736561469277,0.21092840124340043,0.6078142854909435,0.3921857145090565
Total Market (without financials),23133,0.317085829191504,0.23500456727201946,0.7248067858531899,0.2751932141468101
