Industry_Name,Number_of_firms,Acc_Rec_Sales,Inventory_Sales,Acc_Pay_Sales,Non_cash_WC_Sales
Green & Renewable Energy,137,0.6573180964405967,0.03264556416241921,0.20544003599054977,0.24630281732169992
Healthcare Products,343,0.22760922260665437,0.24089818347145148,0.12317193726198758,0.3540990383504057
Healthcare Support Services,217,0.3475027692711852,0.11320937844479491,0.23358771496928651,0.19064530972504867
Heathcare Information and Technology,129,0.2978936259998433,0.2277068852335072,0.1198246702372865,0.4018562154078069
Homebuilding,43,0.3241733105354962,0.6441346443889727,0.14760579423023398,0.6994191420397994
Hospitals/Healthcare Facilities,147,0.17795388478845664,0.03786377749406997,0.13502161862250156,0.05507661338979053
Hotel/Gaming,412,0.10986953696076814,0.09742330162306406,0.14258589352406711,-0.007338506703747951
Household Products,309,0.1141789354489818,0.135236233973052,0.11241593128456531,0.11744870027277501
Information Services,39,0.21885238377254707,0.008256457454466381,0.034051118833481726,0.20716133289959196
Insurance (General),135,0.06184363632007697,0.0018335838069804748,0.10402835057437185,0.046609415371405054
Insurance (Life),82,0.014132522008098721,0.0010230597066786093,0.09082125981903151,-0.15798642982959216
Insurance (Prop/Cas.),144,0.06607911576346878,0.0002698203614971058,0.1203856062421168,0.09316381549380735
Investments & Asset Management,481,3.093187235684131,0.45052858766395865,0.3731350740937872,2.272723451736265
Machinery,911,0.36905796944845193,0.30808517374671207,0.2782382035391225,0.381761020875497
Metals & Mining,331,0.07747451407562028,0.15927499461379224,0.09299754827060167,0.1379600815488757
Office Equipment & Services,71,0.1731507781215231,0.12819607596369995,0.17783215595173588,0.13904298711785726
Oil/Gas (Integrated),16,0.07240803287041274,0.0675638218700681,0.09685904925432055,0.038966944820568485
Oil/Gas (Production and Exploration),103,0.19515475434017476,0.04424118481556041,0.161079155483888,0.005326154231626316
Oil/Gas Distribution,111,0.0934451899775231,0.048066561952393956,0.07281379568114596,0.05799398525309213
Oilfield Svcs/Equip.,225,0.08538157182818219,0.1262284701256524,0.12507744282002844,0.03554803622386522
Packaging & Container,320,0.21250491227612286,0.17748525040897137,0.14995525698839232,0.2245171283352385
Paper/Forest Products,188,0.16486784402614946,0.1877689479536804,0.13927884403557564,0.2238548861564469
Power,321,0.1731713762052868,0.05749748976851469,0.11574654495830498,0.0610866911776633
Precious Metals,62,0.036682836288598,0.16351445986223087,0.06902965602600829,0.10575442402973503
Publishing & Newspapers,170,0.18265153934682568,0.19389376106111533,0.29440205584604473,0.13725345957156884
R.E.I.T.,213,0.16137530889221832,0.0058991060199872596,0.0983044011184323,0.051835910268841476
Real Estate (Development),773,0.21978471783154702,2.4901505408121247,0.5334944287700066,1.9673340941494426
Real Estate (General/Diversified),218,0.44943743249158885,1.6427221100375184,0.24917647109551924,1.6408008764881739
Real Estate (Operations & Services),374,0.23575880381416417,0.28330905938767637,0.1433162931281014,0.22329430443125867
Recreation,143,0.14671960752330548,0.2126124288979187,0.13101844842760368,0.19361460455457755
Reinsurance,29,0.19668817046583417,4.2536452673196035e-06,0.5093379114468393,-0.01490157278200387
Restaurant/Dining,158,0.01873529436602228,0.02612211132289438,0.09106994399772944,-0.07498757998761836
Retail (Automotive),107,0.08466822255444648,0.08173595001419486,0.07450492990215168,0.12109559233638473
Retail (Building Supply),46,0.09713866806796133,0.22251663991451073,0.1596488345305176,0.15149608973726278
