Industry_Name,Number_of_Firms,ROC,Reinvestment_Rate,Expected_Growth_in_EBIT
Engineering/Construction,890,0.067817022887493,1.4162818163968527,0.09604801635772552
Entertainment,335,0.03409259285671443,0.1793033205203067,0.006112915104355787
Environmental & Waste Services,203,0.044639623460931054,2.5722743329847595,0.11482535766265725
Farming/Agriculture,297,0.05609022506529749,0.21323913184229923,0.011960630897763209
Financial Svcs. (Non-bank & Insurance),672,0.01282421613259045,0.08560404134011987,0.001097804727968905
Food Processing,957,0.08934580878928146,0.6821166975917791,0.06094426803501122
Food Wholesalers,103,0.0816887836266404,0.5110779778088309,0.04174933834556651
Furn/Home Furnishings,275,0.15532792870152784,0.31039201916833936,0.04821254942290308
Green & Renewable Energy,137,0.07930947537207733,1.4229088156733005,0.11285015167335335
Healthcare Products,343,0.07360724392962437,1.5685021355646098,0.11545311929664098
Healthcare Support Services,217,0.10668360847527485,0.6140902938641614,0.06551336847907066
Heathcare Information and Technology,129,0.08474187745336811,2.141890448835009,0.18150781793371595
Homebuilding,43,0.0527025234142715,1.5043048954739193,0.07928066397591747
Hospitals/Healthcare Facilities,147,0.1296294736105316,0.6210050668750282,0.08050055992848287
Hotel/Gaming,412,0.03320169325776584,-0.18885670730103193,-0.006270362465480529
Household Products,309,0.12941465731213128,0.3526958275573434,0.04564400965875215
Information Services,39,0.2679990574267951,0.23109178581796877,0.06193238077829044
Insurance (General),135,0.1196271014092167,0.46298127055423927,0.055385107403159974
Insurance (Life),82,0.10062556732772265,0.15864862705662397,0.015964108103337076
Insurance (Prop/Cas.),144,0.1288062629285156,0.35056241519859094,0.04515463462492516
Investments & Asset Management,481,0.009503368921723758,0.7300988833955998,0.006938399038246961
Machinery,911,0.07727987342733422,1.4257619409836808,0.11018270233672922
Metals & Mining,331,0.09602961142922127,0.8304238253064962,0.07974527726575036
Office Equipment & Services,71,0.08457438524530009,1.3247869934019016,0.11204304554793526
Oil/Gas (Integrated),16,0.2534113092352995,0.2412249854820749,0.06112913939127871
Oil/Gas (Production and Exploration),103,0.2003713340301423,0.7427531249023955,0.1488264344917499
Oil/Gas Distribution,111,0.1048363627398603,0.5176662574262494,0.05427024754172418
Oilfield Svcs/Equip.,225,0.08831979595622254,0.8264221656069202,0.07298943704010274
Packaging & Container,320,0.04935311292419448,0.7240784060419674,0.03573552333935996
Paper/Forest Products,188,0.047727354775304986,1.3485377610699638,0.06436214015048164
Power,321,0.054777666735672186,1.251110070216162,0.06853289047594435
Precious Metals,62,0.13753909695975702,1.1404157204126468,0.15685174834426618
Publishing & Newspapers,170,0.08537277872588532,0.27264633883112904,0.023276575555452733
R.E.I.T.,213,0.05088868223879061,0.9573389861181941,0.04871771945937475
Real Estate (Development),773,0.019962061961196875,-2.6979167569555096,-0.05385598146849721
Real Estate (General/Diversified),218,0.028590375280405537,0.8750407201540992,0.025017742574842017
Real Estate (Operations & Services),374,0.047623267275210414,0.30502260440610063,0.014526173014612504
Recreation,143,0.08107669515201783,0.22443094018054796,0.018196118919699036
Reinsurance,29,0.15143810019055706,0.6748931666043672,0.10220453898215447
Restaurant/Dining,158,0.06589571790636224,-0.13712374118236412,-0.009035867367218092
Retail (Automotive),107,0.07422673195922903,1.0650698662309106,0.07905665547857373
Retail (Building Supply),46,0.09316013152280213,-0.40863781614937583,-0.03806875269766649
Retail (Distributors),673,0.0662241810743504,0.9495482566159175,0.06288305568496626
Retail (General),146,0.06098853876216149,0.39834089892034374,0.024294229354357638
Retail (Grocery and Food),86,0.08192037031179492,0.06504855137915103,0.0053288014172258695
Retail (REITs),40,0.04471712777406436,0.5234445569034041,0.02340693713368802
Retail (Special Lines),251,0.06894933557144797,0.3796821664937302,0.026178833108070586
Rubber& Tires,72,0.07128395722101905,0.6910476404682385,0.04926061044082406
Semiconductor,513,0.10095249977453953,1.5713695897614308,0.15863368815610912
Semiconductor Equip,277,0.16007206375110847,1.5400567527847049,0.24652006271207838
Shipbuilding & Marine,240,0.10243024946717122,0.2663555689165149,0.02728286737108894
Shoe,58,0.06092413125363383,-0.34272810694283246,-0.020880412171694576
Software (Entertainment),66,0.08365140966919928,0.236585586940175,0.019790717854960543
Software (Internet),42,0.03165119239940261,2.2926119891592145,0.07256390316605543
Software (System & Application),521,0.009195016823699291,33.17119755477277,0.3050097195783884
Steel,536,0.07419273415255802,0.5069974392020852,0.037615526222748004
Telecom (Wireless),63,0.11225270138029898,0.13832340512830735,0.015527175889774002
Telecom. Equipment,299,0.04732566164451487,1.794156031618183,0.08490962128982765
Telecom. Services,140,0.08188974499683177,-0.8448438252275116,-0.06918404541002883
Tobacco,31,0.22248642676188818,0.24909368931851045,0.0554199648654113
Transportation,296,0.0566158336842924,0.2124892557355708,0.01203025636242415
Transportation (Railroads),15,0.050538050659707734,0.3972096876658696,0.020074203317784405
Trucking,55,0.1078838608488584,0.6859996789592566,0.07400829390720197
Utility (General),14,0.06646783279997945,0.03023052019882432,0.002009357162031856
