Industry_Name,Number_of_Firms,Beta,Cost_of_Equity,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Tax_Rate,After_tax_Cost_of_Debt,D_D_E_,Cost_of_Capital,Cost_of_Capital_Local_Currency_
Broadcasting,63,1.041471526165343,0.12086795626182903,0.7695950827298988,0.34435988675470985,0.075255,0.13039305690216269,0.0565691835,0.23040491727010115,0.10605320284307078,0.17048348650383205
Brokerage & Investment Banking,431,0.9150536866013019,0.11090623050418259,0.3070332654337431,0.336784722661935,0.075255,0.11972010101816692,0.0565691835,0.6929667345662569,0.07325246447572097,0.13577202551314138
Building Materials,255,1.0316138656624652,0.12009117261420225,0.7884115011584707,0.2983906430133178,0.075255,0.13113031867505456,0.0565691835,0.2115884988415293,0.10665065029410024,0.17111573671899927
Business & Consumer Services,338,0.9580645423211414,0.11429548593490593,0.8664982469396891,0.3552101824082538,0.075255,0.12947424546926425,0.0565691835,0.13350175306031087,0.10658892336215631,0.171050414043447
Cable TV,32,1.0132354806560642,0.11864295587569786,0.7418333236133272,0.31933711848895735,0.075255,0.08865172147910785,0.0565691835,0.2581666763866728,0.10261757637068109,0.1668477264505266
Chemical (Basic),707,1.085672259003882,0.1243509740095059,0.7077143698261368,0.2881063834822014,0.075255,0.13607067271022347,0.0565691835,0.2922856301738632,0.10453933065612218,0.16888142758754676
Chemical (Diversified),30,1.0611761692284847,0.12242068213520459,0.7724230592539133,0.2436955194177624,0.069443,0.2255366171798991,0.052200303100000005,0.2275769407460867,0.10644014309634209,0.17089296696603173
Chemical (Specialty),656,1.0025606302667978,0.11780177766502366,0.8227443073955903,0.3011878636923943,0.075255,0.14491587705888143,0.0565691835,0.17725569260440965,0.10694795177633766,0.1714303567341826
Coal & Related Energy,95,0.7544277177119801,0.09824890415570403,0.821025387391997,0.3591204772846801,0.075255,0.1990874326928287,0.0565691835,0.17897461260800296,0.09078929229773963,0.15433041612090892
Computer Services,603,1.0088955409935285,0.11830096863029005,0.932054538801868,0.3543206236377449,0.075255,0.12813747117289112,0.0565691835,0.06794546119813205,0.11410657401902849,0.17900598609780682
Computers/Peripherals,228,1.322763321249197,0.14303374971443672,0.8969146562033651,0.3210462723610615,0.075255,0.1267298824997524,0.0565691835,0.10308534379663492,0.1341205201799946,0.20018579320018848
Construction Supplies,552,1.003058241605434,0.11784098943850821,0.7030156780893126,0.27799625591652655,0.075255,0.14809310638667658,0.0565691835,0.29698432191068735,0.09964422369961712,0.1637011687694978
Diversified,212,0.8885916584420943,0.10882102268523702,0.4720579238396456,0.259112968922331,0.075255,0.14707994448803524,0.0565691835,0.5279420761603544,0.08123507822258604,0.14421964588603764
Drugs (Biotechnology),332,1.357110199734937,0.14574028373911302,0.9443142971352928,0.3893550934004017,0.075255,0.04653246619546844,0.0565691835,0.0556857028647072,0.14077472834707877,0.20722762514399595
Drugs (Pharmaceutical),717,0.884814966445048,0.10852341935586977,0.9057892573399571,0.3006607098453748,0.075255,0.13587157057550103,0.0565691835,0.09421074266004292,0.10362877221155324,0.16791782690348822
Education,155,0.7938358904217057,0.10135426816523041,0.7288415009643407,0.36315468021171116,0.075255,0.10428933141527268,0.0565691835,0.27115849903565925,0.08921041182822162,0.1526595620318072
Electrical Equipment,726,1.0799955932140095,0.12390365274526395,0.8516618696146672,0.32192011526050346,0.075255,0.1250192669972813,0.0565691835,0.14833813038533283,0.1139153834669328,0.17880365823199695
Electronics (Consumer & Office),77,1.2646303008425706,0.13845286770639456,0.7194564814274524,0.3211381423546983,0.075255,0.12226329429827258,0.0565691835,0.28054351857254756,0.11548093082544929,0.18046040252401907
