Industry_Name,Number_of_firms,Average_Company_Age_years_,Market_Cap_millions_,Book_Equity_millions_,Enteprise_Value_millions_,Invested_Capital_millions_,Total_Debt_including_leases_millions_,Revenues_millions_,Gross_Profit_millions_,EBITDA_millions_,EBIT_Operating_Income_millions_,Net_Income_millions_,Cash_Firm_Value
Retail (Grocery and Food),86,38.81395348837209,125005.93299999998,33298.24599999999,159095.56942604258,65241.371242715046,49083.28242604264,172116.90300000002,41953.11499999998,9664.339999999997,6130.973114791471,2077.852,0.055139900994404044
Retail (REITs),40,12,54590.70000000001,63898.00000000001,90201.55825230533,105650.15825230531,37532.20825230533,7035.63,4895.609999999999,4169.32,4563.060349538933,1896.8719999999996,0.05958975904139555
Retail (Special Lines),251,33.950413223140494,230000.47600000005,81552.902,261695.08398805445,106625.07798805434,58464.73398805435,196453.16600000008,58612.64599999997,11937.438999999998,8936.896202389127,2505.415,0.07373727532608357
Rubber& Tires,72,47.65277777777778,60047.37999999999,35225.24799999999,72840.28321368883,52822.42921368885,21312.438213688853,57037.19399999999,13801.625000000002,7577.243,4580.03515726223,2926.567,0.0828803147291798
Semiconductor,513,21.38095238095238,1337284.0300000014,358074.75000000023,1333409.0693964676,409135.62239646696,146220.3663964665,362958.5980000002,97681.11500000006,91356.58999999988,45999.12152070669,40967.915,0.06342443774975146
Semiconductor Equip,277,21.531135531135533,277647.3600000001,76261.33999999998,281786.5220617367,103509.88106173689,31428.644061736886,88519.18999999999,26468.49599999999,19089.295000000006,14653.401587652617,13063.788000000008,0.05154315643549348
Shipbuilding & Marine,240,36.25108225108225,267617.968,266668.904,308181.04688892,333858.7180872506,128336.22488891991,164875.0150000001,46946.176000000014,46358.766999999985,32562.464022215983,28526.786000000007,0.1561999720178939
Shoe,58,39.310344827586206,38723.14200000001,19144.739999999998,42122.23670665426,26118.81270665423,8170.927706654232,34452.723,9313.114,2951.258,1812.5248586691537,1354.8360000000007,0.06983623080362436
Software (Entertainment),66,14.23076923076923,451138.89500000014,145903.602,480848.2662176684,188923.7582176684,60298.032217668355,115546.848,60291.98400000001,24053.217999999997,19584.86235646634,27629.763000000003,0.04923328011773606
Software (Internet),42,18.833333333333332,39299.791,9570.869,42824.56452169956,12888.455521699563,6967.369521699561,24026.078,3462.1139999999996,1182.105,546.9572956600877,274.71299999999997,0.06554067144166105
Software (System & Application),521,19.090180360721444,379885.2589999999,89424.907,363201.25830241886,69629.40572474255,16212.803302418784,74311.88999999997,34055.90500000001,2573.3729999999996,1033.3073395162412,-417.0019999999995,0.06417677374735845
Steel,536,36.22857142857143,496815.17400000023,572165850.6259998,652004.5919482632,565099.6649482632,232715.14194826336,726788.805,112400.7530000002,75677.91599999997,45520.38181034737,24988.759,0.10985394696870987
Telecom (Wireless),63,26.677419354838708,520621.22,275917.6900000002,670814.7544990856,461267.5924990854,206936.38149908537,370827.06,160593.57599999997,113028.01099999998,55164.15950018293,31420.842,0.11563791067500187
Telecom. Equipment,299,26.104377104377104,199517.43999999983,64662.05799999998,198530.7293692132,68250.56136921296,26251.47636921297,110368.77300000003,25943.593999999983,6700.870999999999,4336.354726157405,3651.8060000000014,0.10183543251629577
Telecom. Services,140,30.029197080291972,458561.75900000014,311302.85899999994,614140.131143901,441434.571143901,199724.207143901,332394.3629999998,172619.92599999995,93549.96399999999,38276.4553712198,20885.146,0.0740307294444372
Tobacco,31,75.28571428571429,103519.83,25808.807999999997,102288.19490405031,24761.32590405033,1371.1339040503242,29516.912999999993,11900.443000000001,7149.933000000001,6389.456619189935,5027.017000000001,0.05063589139732559
Transportation,296,28.72791519434629,266536.21800000005,154743.994,383042.65785979404,298628.8969695799,164764.85385979386,330475.9830000003,45100.491,30569.733999999993,17686.618828041206,12061.787000000008,0.10103519071446139
Transportation (Railroads),15,24.642857142857142,111360.80000000002,84700.59999999998,128250.17333137988,108433.56333137988,34451.50333137987,36314.59999999999,9337.300000000001,10271.730000000003,6799.089333724027,4860.81,0.10714643305133277
Trucking,55,34.264150943396224,11731.619,5190.354000000001,25275.6734059722,19980.57340597221,14852.001405972198,16400.685999999994,3549.138000000001,2987.6029999999987,2056.3165188055586,462.2330000000001,0.1031954794408663
Utility (General),14,26.928571428571427,169656.90000000002,61563.09999999999,218313.1037276919,119900.81372769192,56825.74372769193,43162,13603.26,14136.517,8576.778254461617,8863.82,0.06263534042313611
Utility (Water),71,28.181818181818183,66590.61000000003,54310.54999999999,125079.73930041038,122458.21747036661,69302.18230041038,37215.69999999999,13608.562999999998,12249.946000000002,8338.144139917924,4509.844999999999,0.09728813975749159
Total Market,25637,32.12324738114424,32488510.99299986,590612147.1939931,46566879.02758977,35882942.21891983,20962866.78558962,23968063.950000063,6617541.593999979,2906059.3640000056,1981914.2488820653,1753150.3260000048,0.12279000716315412
Total Market (without financials),23133,31.90625213870957,26762608.18499986,584838716.8939931,33084485.52007085,21476296.53311969,10161174.411070706,21142968.368000064,4795410.80299998,2758382.1620000056,1844621.6299858487,1111289.393000005,0.09404795552937799
